sample ID	SSP.max.corToCMS1	SSP.max.corToCMS2	SSP.max.corToCMS3	SSP.max.corToCMS4
35_1	0.0627420263774294	-0.128262263870888	-0.0744548883445303	0.315686317122987
36_1	-0.198922627706247	0.328812641192513	-0.152828210126042	0.012158661366551
37_1	0.132802715322527	-0.231096068319205	-0.0815629814833295	0.425601932769769
38_1	-0.163710631044967	0.208336929040157	0.0127896740526053	0.0447726511295223
38_2	0.0334084735100044	-0.0614101303283627	0.225843113371217	0.0476457776985562
38_3	0.0280356447732174	-0.0934231443609722	-0.21326367020701	0.388010118380863
39_1	0.300741045601944	-0.196868433141913	-0.215570281609011	0.273418823780311
39_3	0.305275614583351	-0.207014648928255	-0.290254546380767	0.346265348401779
4_1	-0.0411563362715915	-0.0297614627635529	-0.201470634405103	0.388028542839941
40_1	0.0322133008478121	0.0107784496952543	-0.211824381493281	0.222307864438187
41_1	0.0800361119810849	-0.162081619341794	-0.20748460125332	0.460450107766256
42_1	0.306476064858799	-0.190058783597809	-0.288022023522884	0.298025926150947
43_1	-0.127986501026399	0.0641544834884291	-0.19978366481438	0.364704514029232
44_1	0.111029902857156	-0.0157646809243841	-0.162861108600211	0.131882263756542
44_2	0.0773378309290536	-0.0768854530719931	-0.229670294290087	0.286927316064334
44_3	0.128095374604975	0.00743186191034477	-0.102381955057503	0.0531772356960251
45_1b	0.0249563233194167	-0.0965575145968281	-0.19162306488338	0.373625981064106
46_1b	-0.00559178900983256	-0.0700953680165478	-0.188083825357892	0.363743931832497
47_3	0.0108082769695735	-0.00675692249727925	-0.0304836180975418	0.129815253855862
47_4	-0.00503644026264086	0.00880466728214165	-0.0120709240023202	0.120906495657707
48_1	0.00967729546877492	-0.0621522513690579	-0.327767238145468	0.496569935375271
48_2	-0.0356800060488116	-0.0331460886294868	-0.290340943392875	0.464329623885002
48_3	-0.0636567216999361	0.0251858473798307	-0.282578006861323	0.391150305377361
49_1	-0.15952927794874	0.156715263057098	-0.0691202018356018	0.13368100169952
49_2	-0.0874143641527432	0.114596459417999	-0.228950648854795	0.237285271332538
5_2	0.126169676554525	-0.193042019795866	-0.259594116773161	0.49466313689509
50_1	0.0544865657606754	-0.114636163201614	-0.259077560288643	0.459740857238281
51_1	-0.00158822974398877	-0.082620098793636	-0.190486651294657	0.428269598010772
51_2	0.0243207262977115	-0.140877275885175	-0.176716375387021	0.489383156073524
51_3	-0.0287866092416746	-0.0880468928732247	-0.186826917492591	0.48594139752673
52_1	-0.0482926978510987	-0.0623845677752245	-0.25393553259743	0.49985344853626
52_2	-0.065444932401998	-0.00771282289311728	-0.239245680307562	0.409292105103922
52_3	-0.0437719548026913	-0.0594631388806984	-0.258165690704466	0.492198389226879
6_1	0.162683842271611	-0.21968195045622	-0.177490108464481	0.437969126350797
7_1	0.133899541614307	-0.169787426285327	-0.16428298534941	0.349572041064135
8_2	0.254426179825392	-0.259698053391688	0.143870961792125	0.172862006674046
9_2	0.0264494053923683	-0.100327215213127	-0.243677758132742	0.454151881745513
